,30525
Returns,24.61523954795295
Standard Deviation,11.286518267025269
Sortino Ratio,186.3749213910332
ADANIPORTS Weight,1.2914908934389568
ASIANPAINT Weight,6.3819660329240815
BAJFINANCE Weight,6.9475743817557625
BAJAJFINSV Weight,5.8163576840924005
BRITANNIA Weight,5.8163576840924005
DIVISLAB Weight,6.3819660329240815
GRASIM Weight,0.7258825446072763
HCLTECH Weight,4.119532637597359
HDFCBANK Weight,7.513182730587442
HINDALCO Weight,0.7258825446072763
HINDUNILVR Weight,8.078791079419124
ICICIBANK Weight,1.8570992422706374
INFY Weight,1.2914908934389568
JSWSTEEL Weight,1.8570992422706374
NESTLEIND Weight,5.2507493352607195
POWERGRID Weight,2.4227075911023177
RELIANCE Weight,4.68514098642904
TCS Weight,8.078791079419124
TATACONSUM Weight,4.119532637597359
TATASTEEL Weight,1.8570992422706374
TECHM Weight,6.9475743817557625
TITAN Weight,5.2507493352607195
UPL Weight,0.7258825446072763
WIPRO Weight,1.8570992422706374
