,Returns,Semi Deviation,Sortino Ratio,ASIANPAINT Weight,BAJFINANCE Weight,BAJAJFINSV Weight,BRITANNIA Weight,DIVISLAB Weight,HCLTECH Weight,HDFCBANK Weight,HINDALCO Weight,HINDUNILVR Weight,HDFC Weight,ICICIBANK Weight,INFY Weight,JSWSTEEL Weight,KOTAKBANK Weight,NESTLEIND Weight,RELIANCE Weight,SHREECEM Weight,TCS Weight,TATASTEEL Weight,TECHM Weight,TITAN Weight,WIPRO Weight
95,29.599999999999998,10.73312629199899,2.424270365606022,0.11328603747967417,7.760861061101607,7.634842487822158,0.2796255988879471,5.96546999271909,0.04132849277866689,2.1086743865024267,1.2166523722585967,19.594020992666742,2.1158442561956377,0.25463414084995717,2.125351009405128,0.7419949553775967,1.2058201074968875,32.07504704280491,6.988607865513796,0.0832086723789282,0.045246499343686714,3.800217727430156,4.326008481527657,0.7241835541890593,0.799074265269706
131,29.599999999999998,10.73312629199899,2.424270365606022,0.11328600036425632,7.76087782448687,7.634829101576027,0.27962510663293766,5.9654740830106,0.041328446665709596,2.1086780853788065,1.2166519959507973,19.5939913017943,2.1158442054339788,0.2546342119585871,2.125352549662261,0.7419943954781888,1.205821499623139,32.075043295276124,6.988623288627031,0.08320866932706601,0.045246490640271024,3.8002150347418953,4.326018291262322,0.7241824237041585,0.7990736984046752
122,29.599999999999998,10.73312629199899,2.424270365606022,0.1132860003643096,7.760877824462799,7.634829101595251,0.27962510663364465,5.965474083004726,0.04132844666577583,2.1086780853734948,1.216651995951338,19.59399130183694,2.115844205434052,0.254634211958485,2.1253525496600494,0.7419943954789929,1.20582149962114,32.07504329528151,6.988623288604884,0.08320866932707043,0.04524649064028352,3.8002150347457637,4.326018291248235,0.724182423705782,0.7990736984054894
123,29.599999999999998,10.73312629199899,2.424270365606022,0.11328600036428663,7.76087782447316,7.634829101586976,0.2796251066333403,5.965474083007254,0.041328446665747316,2.108678085375781,1.216651995951105,19.593991301818587,2.1158442054340205,0.254634211958529,2.1253525496610015,0.7419943954786467,1.2058214996220005,32.07504329527919,6.988623288614416,0.08320866932706851,0.045246490640278136,3.8002150347440984,4.326018291254298,0.7241824237050831,0.7990736984051389
124,29.599999999999998,10.73312629199899,2.424270365606022,0.11328600036427344,7.760877824479122,7.6348291015822145,0.27962510663316525,5.965474083008709,0.04132844666573092,2.108678085377097,1.2166519959509714,19.593991301808025,2.1158442054340023,0.25463421195855424,2.1253525496615495,0.7419943954784476,1.2058214996224959,32.07504329527786,6.988623288619904,0.08320866932706744,0.04524649064027504,3.800215034743141,4.326018291257787,0.724182423704681,0.7990736984049374
125,29.599999999999998,10.73312629199899,2.424270365606022,0.11328600036426588,7.760877824482535,7.634829101579486,0.2796251066330649,5.965474083009541,0.04132844666572152,2.10867808537785,1.2166519959508948,19.593991301801974,2.1158442054339917,0.2546342119585687,2.1253525496618626,0.7419943954783335,1.2058214996227792,32.07504329527709,6.988623288623044,0.0832086693270668,0.045246490640273265,3.800215034742591,4.3260182912597855,0.7241824237044506,0.7990736984048218
126,29.599999999999998,10.73312629199899,2.424270365606022,0.11328600036426158,7.760877824484484,7.634829101577932,0.27962510663300777,5.965474083010017,0.04132844666571617,2.1086780853782803,1.216651995950851,19.59399130179853,2.1158442054339863,0.254634211958577,2.1253525496620416,0.7419943954782685,1.205821499622941,32.075043295276664,6.988623288624836,0.08320866932706646,0.04524649064027226,3.800215034742279,4.326018291260925,0.7241824237043194,0.7990736984047561
127,29.599999999999998,10.73312629199899,2.424270365606022,0.11328600036425915,7.76087782448559,7.63482910157705,0.27962510663297535,5.965474083010288,0.041328446665713135,2.108678085378524,1.2166519959508264,19.593991301796574,2.115844205433983,0.2546342119585817,2.1253525496621433,0.7419943954782316,1.2058214996230328,32.07504329527641,6.9886232886258535,0.08320866932706626,0.04524649064027169,3.800215034742102,4.326018291261572,0.724182423704245,0.7990736984047188
128,29.599999999999998,10.73312629199899,2.424270365606022,0.11328600036425775,7.7608778244862116,7.63482910157655,0.2796251066329569,5.965474083010439,0.0413284466657114,2.108678085378661,1.216651995950812,19.593991301795462,2.1158442054339806,0.2546342119585843,2.1253525496622006,0.7419943954782106,1.2058214996230843,32.07504329527627,6.988623288626425,0.08320866932706612,0.04524649064027136,3.800215034742001,4.326018291261937,0.7241824237042027,0.7990736984046974
129,29.599999999999998,10.73312629199899,2.424270365606022,0.11328600036425696,7.7608778244865615,7.63482910157627,0.2796251066329466,5.965474083010524,0.041328446665710436,2.1086780853787386,1.216651995950804,19.593991301794837,2.115844205433979,0.2546342119585857,2.1253525496622325,0.7419943954781989,1.2058214996231134,32.07504329527619,6.988623288626748,0.08320866932706605,0.04524649064027118,3.800215034741944,4.326018291262142,0.724182423704179,0.7990736984046855
