,14
Returns,28.799999999999997
Semi Deviation,11.180339887498949
Sortino Ratio,2.2557453757017876
ASIANPAINT Weight,12.603073827373734
BAJFINANCE Weight,10.83152725588952
BAJAJFINSV Weight,1.7610204050228264
BRITANNIA Weight,4.062031980830041
DIVISLAB Weight,2.278543473075601
GRASIM Weight,2.955751537868094
HCLTECH Weight,4.534767155713014
HDFCBANK Weight,1.9499148453978
HINDALCO Weight,1.9214642986739816
HINDUNILVR Weight,18.2353067157067
ICICIBANK Weight,1.7589020453004673
INFY Weight,1.5306457492825198
JSWSTEEL Weight,2.982880794293586
LT Weight,4.248996608754534
NESTLEIND Weight,3.8465774777135495
POWERGRID Weight,2.8582555197727517
RELIANCE Weight,2.4345740156757905
TCS Weight,2.143443866615365
TATACONSUM Weight,2.549969388608801
TATASTEEL Weight,3.625012040204461
TECHM Weight,2.1347823636810164
TITAN Weight,2.2353094612407425
ULTRACEMCO Weight,2.4759395014320975
WIPRO Weight,4.04130967187299
